ts,pipeline,run,load,sustained_eps,wall_ms,p50_us,p95_us,p99_us,rss_mb
2026-04-28T23:57:01Z,small,1,3.13,769754,1299,6907,21199,27135,1810
2026-04-28T23:57:04Z,small,2,3.84,798130,1252,7863,20415,27663,1813
2026-04-28T23:57:07Z,small,3,3.84,774653,1290,11231,21695,27151,1813
2026-04-28T23:57:09Z,small,4,4.17,752224,1329,8935,23423,85631,1815
2026-04-28T23:57:12Z,small,5,7.52,772324,1294,6935,20943,26447,1814
2026-04-28T23:57:15Z,medium,1,7.52,745630,1341,11879,27407,45087,1841
2026-04-28T23:57:18Z,medium,2,7.32,761125,1313,11047,22095,31727,1836
2026-04-28T23:57:21Z,medium,3,7.32,730522,1368,12359,25903,73023,1835
2026-04-28T23:57:24Z,medium,4,8.09,690871,1447,15759,27999,33983,1968
2026-04-28T23:57:27Z,medium,5,8.49,552435,1810,18751,45855,56927,1969
2026-04-28T23:57:36Z,large,1,8.29,661167,1512,17823,31391,41567,2460
2026-04-28T23:57:39Z,large,2,9.46,668649,1495,17887,29407,43327,2443
2026-04-28T23:57:42Z,large,3,10.15,697734,1433,15455,28623,35999,2335
2026-04-28T23:57:46Z,large,4,10.15,677983,1474,17823,29647,54079,2333
2026-04-28T23:57:49Z,large,5,11.02,692953,1443,16143,29359,54783,2439
2026-04-28T23:57:52Z,large_phase9,1,10.85,694072,1440,13119,29871,99391,2406
2026-04-28T23:57:56Z,large_phase9,2,10.85,713825,1400,13367,27327,113791,2336
2026-04-28T23:57:59Z,large_phase9,3,11.03,677856,1475,17871,29231,99071,2398
2026-04-28T23:58:02Z,large_phase9,4,10.30,690450,1448,16799,29215,36255,2415
2026-04-28T23:58:06Z,large_phase9,5,10.30,684497,1460,16735,29567,48255,2344
2026-04-28T23:58:12Z,fraud-team,1,10.24,98812,10120,159743,210047,260479,3613
2026-04-28T23:58:30Z,fraud-team,2,9.35,101884,9815,137471,183423,285439,7107
2026-04-28T23:58:47Z,fraud-team,3,8.21,100048,9995,99647,191871,308991,6917
2026-04-28T23:59:04Z,fraud-team,4,7.79,104673,9553,46175,62815,9363455,7245
2026-04-28T23:59:21Z,fraud-team,5,7.57,110549,9045,142847,170495,257663,7142
2026-04-28T23:59:40Z,geo,1,7.69,672027,1488,18111,30975,34591,2444
2026-04-28T23:59:43Z,geo,2,7.24,728093,1373,14479,23791,82239,2441
2026-04-28T23:59:47Z,geo,3,7.06,708160,1412,15775,26495,111231,2444
2026-04-28T23:59:50Z,geo,4,7.06,713826,1400,14015,30239,34367,2443
2026-04-28T23:59:54Z,geo,5,6.97,701345,1425,18495,26351,30607,2440
2026-04-28T23:59:57Z,large-with-sketches,1,7.37,399035,2506,38015,47455,69695,3560
2026-04-29T00:00:03Z,large-with-sketches,2,7.82,389618,2566,34527,52191,137599,3554
2026-04-29T00:00:08Z,large-with-sketches,3,7.36,422039,2369,24447,52319,73855,3615
2026-04-29T00:00:14Z,large-with-sketches,4,7.81,324163,3084,42367,105023,126527,3557
2026-04-29T00:00:20Z,large-with-sketches,5,7.82,243077,4113,50943,129215,202111,3558
2026-04-29T00:00:30Z,medium-with-sketches,1,7.89,586702,1704,23071,35775,82303,2275
2026-04-29T00:00:34Z,medium-with-sketches,2,8.14,660169,1514,19887,37887,61983,2411
2026-04-29T00:00:37Z,medium-with-sketches,3,8.60,588812,1698,22863,43103,89791,2271
2026-04-29T00:00:41Z,medium-with-sketches,4,8.60,585058,1709,23119,38943,82623,2260
2026-04-29T00:00:45Z,medium-with-sketches,5,10.40,611165,1636,22607,37983,76543,2265
2026-04-29T00:00:49Z,medium_phase9,1,10.12,762023,1312,8455,21999,23759,1833
2026-04-29T00:00:52Z,medium_phase9,2,10.27,725347,1378,12503,28991,40223,1970
2026-04-29T00:00:55Z,medium_phase9,3,10.27,662000,1510,19247,26095,63039,1965
2026-04-29T00:00:58Z,medium_phase9,4,10.89,688805,1451,15967,34655,40575,1967
2026-04-29T00:01:02Z,medium_phase9,5,10.89,752142,1329,16847,24255,30623,1959
2026-04-29T00:01:13Z,phase8,1,9.06,725059,1379,14095,27455,31151,1871
2026-04-29T00:01:16Z,phase8,2,9.06,722523,1384,15159,26575,31647,1869
2026-04-29T00:01:19Z,phase8,3,11.14,731239,1367,11903,25055,30063,1865
2026-04-29T00:01:22Z,phase8,4,11.14,750489,1332,10727,24495,27055,1868
2026-04-29T00:01:25Z,phase8,5,10.49,737089,1356,12615,23423,29551,1870
